query_id,READWARE,INQ601,Sab8A1,mds08a3,isa50t,ok8alx,att99ate,acsys8aln2,disco1,apl8c621,Flab8atd2,pir9Atd0,GE8ATD3,MITSLStd,ibms99a,Overall (Topic)
401,0.22,0.06,0.15,0.13,0.03,0.11,0.32,0.42,0.0,0.58,0.04,0.05,0.17,0.2,0.06,0.16933333333333334
402,0.18,0.15,0.21,0.37,0.06,0.39,0.23,0.32,0.0,0.38,0.25,0.16,0.25,0.23,0.22,0.22666666666666668
403,0.14,0.21,0.21,0.2,0.17,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2
404,0.14,0.18,0.25,0.28,0.0,0.31,0.26,0.3,0.07,0.27,0.23,0.3,0.22,0.27,0.25,0.22200000000000003
405,0.25,0.09,0.13,0.12,0.0,0.13,0.17,0.14,0.0,0.22,0.2,0.17,0.26,0.12,0.23,0.14866666666666667
406,0.11,0.12,0.12,0.08,0.0,0.09,0.12,0.1,0.07,0.13,0.12,0.09,0.08,0.12,0.12,0.09800000000000002
407,0.41,0.26,0.39,0.23,0.12,0.3,0.44,0.24,0.26,0.42,0.36,0.36,0.28,0.29,0.25,0.30733333333333335
408,0.45,0.37,0.28,0.35,0.25,0.36,0.33,0.43,0.03,0.45,0.44,0.36,0.27,0.42,0.39,0.3453333333333334
409,0.21,0.09,0.03,0.1,0.0,0.1,0.07,0.11,0.08,0.12,0.1,0.09,0.1,0.09,0.1,0.09266666666666667
410,0.43,0.63,0.6,0.49,0.0,0.52,0.6,0.55,0.43,0.57,0.63,0.6,0.56,0.62,0.62,0.5233333333333333
411,0.12,0.12,0.11,0.11,0.0,0.15,0.11,0.1,0.0,0.18,0.12,0.13,0.11,0.13,0.12,0.10733333333333335
412,0.49,0.41,0.56,0.06,0.02,0.55,0.54,0.17,0.0,0.07,0.02,0.5,0.37,0.36,0.4,0.30133333333333334
413,0.21,0.03,0.06,0.23,0.0,0.35,0.07,0.3,0.07,0.34,0.34,0.25,0.25,0.13,0.26,0.19266666666666665
414,0.34,0.22,0.18,0.2,0.0,0.19,0.22,0.22,0.03,0.19,0.23,0.2,0.22,0.17,0.17,0.18533333333333335
415,0.59,0.46,0.44,0.5,0.1,0.56,0.67,0.5,0.03,0.6,0.56,0.58,0.67,0.51,0.68,0.49666666666666665
416,0.37,0.26,0.25,0.19,0.0,0.28,0.27,0.28,0.02,0.29,0.27,0.28,0.29,0.28,0.3,0.242
417,0.16,0.1,0.14,0.05,0.02,0.37,0.01,0.29,0.09,0.19,0.0,0.14,0.0,0.23,0.31,0.14
418,0.48,0.44,0.39,0.38,0.0,0.4,0.47,0.46,0.33,0.43,0.44,0.42,0.46,0.46,0.38,0.39599999999999996
419,0.15,0.03,0.03,0.11,0.0,0.11,0.07,0.1,0.03,0.1,0.04,0.06,0.03,0.08,0.08,0.068
420,0.27,0.2,0.21,0.1,0.05,0.22,0.2,0.15,0.04,0.2,0.21,0.27,0.19,0.22,0.21,0.18266666666666667
421,0.24,0.07,0.14,0.03,0.02,0.07,0.13,0.01,0.09,0.05,0.1,0.18,0.09,0.06,0.12,0.09333333333333335
422,0.62,0.64,0.41,0.17,0.0,0.67,0.3,0.46,0.01,0.43,0.69,0.45,0.48,0.49,0.58,0.4266666666666667
423,0.21,0.11,0.14,0.21,0.05,0.16,0.15,0.14,0.0,0.18,0.16,0.17,0.13,0.18,0.16,0.14333333333333328
424,0.57,0.22,0.27,0.11,0.06,0.38,0.18,0.43,0.01,0.41,0.42,0.28,0.4,0.44,0.36,0.3026666666666667
425,0.73,0.53,0.51,0.4,0.01,0.62,0.57,0.48,0.05,0.52,0.62,0.46,0.57,0.64,0.57,0.48533333333333334
426,0.93,0.08,0.16,0.13,0.11,0.25,0.05,0.26,0.03,0.26,0.19,0.49,0.13,0.18,0.15,0.22666666666666663
427,0.24,0.13,0.17,0.24,0.0,0.33,0.22,0.2,0.01,0.28,0.24,0.26,0.24,0.25,0.26,0.2046666666666667
428,0.24,0.37,0.4,0.35,0.09,0.41,0.39,0.25,0.26,0.36,0.41,0.16,0.23,0.38,0.47,0.31799999999999995
429,0.08,0.11,0.11,0.11,0.01,0.11,0.11,0.1,0.06,0.11,0.11,0.1,0.1,0.11,0.06,0.09266666666666669
430,0.02,0.06,0.06,0.06,0.01,0.06,0.06,0.06,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.05266666666666668
431,0.69,0.38,0.61,0.49,0.02,0.46,0.56,0.59,0.07,0.5,0.58,0.5,0.2,0.46,0.46,0.43799999999999994
432,0.01,0.02,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.01,0.02,0.011333333333333334
433,0.06,0.01,0.04,0.04,0.0,0.03,0.05,0.02,0.0,0.05,0.04,0.0,0.0,0.06,0.02,0.028
434,0.96,0.59,0.67,0.52,0.01,0.75,0.54,0.63,0.32,0.43,0.49,0.68,0.71,0.75,0.68,0.582
435,0.38,0.33,0.37,0.05,0.04,0.27,0.37,0.16,0.03,0.33,0.3,0.34,0.3,0.14,0.24,0.2433333333333333
436,0.9,0.21,0.12,0.13,0.23,0.29,0.33,0.18,0.01,0.16,0.26,0.44,0.19,0.28,0.21,0.2626666666666667
437,0.17,0.08,0.09,0.06,0.02,0.1,0.08,0.07,0.03,0.0,0.06,0.0,0.01,0.09,0.07,0.06199999999999999
438,0.71,0.38,0.47,0.13,0.05,0.4,0.29,0.3,0.05,0.16,0.1,0.27,0.37,0.42,0.36,0.2973333333333334
439,0.49,0.07,0.08,0.08,0.02,0.06,0.05,0.3,0.02,0.05,0.09,0.05,0.46,0.11,0.13,0.13733333333333336
440,0.26,0.22,0.31,0.09,0.01,0.23,0.3,0.13,0.03,0.23,0.26,0.23,0.1,0.14,0.3,0.18933333333333335
441,0.06,0.16,0.13,0.17,0.11,0.13,0.16,0.13,0.17,0.15,0.16,0.17,0.11,0.17,0.16,0.14266666666666664
442,0.49,0.05,0.07,0.01,0.0,0.06,0.01,0.03,0.0,0.09,0.08,0.11,0.03,0.06,0.08,0.07800000000000003
443,0.21,0.24,0.24,0.13,0.03,0.14,0.2,0.11,0.02,0.13,0.16,0.11,0.17,0.38,0.23,0.16666666666666666
444,0.04,0.12,0.12,0.15,0.0,0.15,0.15,0.11,0.0,0.16,0.14,0.16,0.09,0.16,0.15,0.11333333333333333
445,0.42,0.16,0.21,0.16,0.04,0.17,0.27,0.14,0.0,0.18,0.25,0.24,0.28,0.19,0.24,0.19666666666666663
446,0.68,0.36,0.4,0.07,0.0,0.41,0.59,0.29,0.05,0.38,0.56,0.64,0.54,0.42,0.59,0.3986666666666666
447,0.15,0.15,0.03,0.16,0.0,0.16,0.12,0.13,0.0,0.13,0.15,0.16,0.04,0.14,0.06,0.10533333333333333
448,0.03,0.03,0.01,0.07,0.01,0.11,0.0,0.04,0.0,0.09,0.12,0.1,0.06,0.05,0.07,0.05266666666666667
449,0.16,0.15,0.15,0.16,0.0,0.18,0.15,0.17,0.07,0.17,0.12,0.14,0.13,0.1,0.16,0.134
450,0.9,0.69,0.65,0.77,0.25,0.73,0.73,0.68,0.01,0.78,0.72,0.69,0.8,0.73,0.69,0.6546666666666667
Overall (System),0.34739999999999993,0.22299999999999998,0.2376,0.1906,0.0404,0.27240000000000003,0.2498,0.24,0.0646,0.25579999999999997,0.249,0.2574,0.24040000000000003,0.2558,0.26139999999999997,0.22570666666666667
